prediction,label,user_id
4.0,4.0,1
4.0,4.0,2
4.1828039522942655,4.0,6
4.0,4.0,13
3.35,4.0,14
4.0092592592592595,4.0,16
3.9944444444444445,4.0,20
4.02803605313093,4.0,29
4.0,4.0,37
4.0,4.0,40
4.0,4.0,41
4.0,4.0,45
3.95,4.0,46
4.0,4.0,49
4.1370295881297325,4.0,58
4.0,4.0,63
4.047272727272727,4.0,64
4.0,4.0,67
4.0,4.0,69
4.047272727272727,4.0,70
4.057504873294347,4.0,71
4.0,4.0,74
4.0,4.0,75
4.0092592592592595,4.0,77
4.106855522644996,4.0,80
4.0,4.0,90
4.0,4.0,91
4.0,4.0,93
4.0,4.0,100
4.0092592592592595,4.0,101
4.0,4.0,105
4.0,4.0,107
4.055686991740773,4.0,109
4.0,4.0,115
4.0,4.0,117
4.090014662756598,4.0,118
4.0,4.0,122
4.0,4.0,123
4.0,4.0,125
3.126145566922421,3.0,155
2.810416666666667,3.0,156
3.0012583056478404,3.0,160
3.09375,3.0,168
3.0098814229249014,3.0,172
3.0484492917682573,3.0,174
2.64375,3.0,187
3.042793880837359,3.0,188
3.0012583056478404,3.0,195
3.046022727272727,3.0,196
2.9960227272727273,3.0,197
3.048458994708995,3.0,199
3.007608695652174,3.0,202
3.0151170013000144,3.0,204
3.0104658385093166,3.0,207
2.996607142857143,3.0,212
3.0184996849581855,3.0,215
3.0242753623188405,3.0,219
3.032358380610359,3.0,222
3.142812233589088,3.0,227
2.9960227272727273,3.0,230
3.04375,3.0,232
3.1566709292412614,3.0,234
2.996607142857143,3.0,236
2.9960227272727273,3.0,243
3.0151170013000144,3.0,245
3.0012583056478404,3.0,252
3.0242753623188405,3.0,255
2.9960227272727273,3.0,258
3.0012583056478404,3.0,259
2.9960227272727273,3.0,260
2.9960227272727273,3.0,261
2.9960227272727273,3.0,270
3.028935185185185,3.0,272
2.9960227272727273,3.0,275
3.0184996849581855,3.0,276
3.129002709779564,3.0,281
3.0151170013000144,3.0,285
3.126145566922421,3.0,293
3.013264106583072,3.0,294
3.0132738095238096,3.0,296
2.9960227272727273,3.0,298
1.0,1.0,308
1.0,1.0,311
1.0,1.0,322
1.0,1.0,323
1.0,1.0,325
1.0,1.0,326
1.0,1.0,328
1.0,1.0,330
1.0,1.0,332
1.0,1.0,336
1.0,1.0,338
1.0,1.0,339
1.0,1.0,348
1.0,1.0,350
1.0,1.0,351
1.0,1.0,352
1.0,1.0,356
1.0,1.0,357
1.0,1.0,358
1.0,1.0,359
1.0,1.0,361
1.0,1.0,362
1.0,1.0,364
1.0,1.0,365
1.0,1.0,372
1.0,1.0,373
1.0,1.0,375
1.0,1.0,376
1.0,1.0,378
1.0,1.0,380
1.0,1.0,382
1.0,1.0,383
1.0,1.0,385
1.0,1.0,387
1.0,1.0,391
1.0,1.0,394
1.0,1.0,398
1.0,1.0,401
1.0,1.0,407
1.0,1.0,409
1.0,1.0,412
1.0,1.0,414
1.0,1.0,416
1.0,1.0,418
1.0,1.0,426
1.0,1.0,436
1.0,1.0,440
1.0,1.0,441
1.0,1.0,442
1.0,1.0,444
1.0,1.0,446
1.0,1.0,451
1.0,1.0,455
1.0,1.0,459
1.0,1.0,461
1.0,1.0,462
1.0,1.0,467
1.0,1.0,473
1.0,1.0,477
1.0,1.0,478
1.0,1.0,480
1.0,1.0,484
1.0,1.0,487
1.0,1.0,489
1.0,1.0,490
1.0,1.0,496
1.0,1.0,497
1.0,1.0,498
1.0,1.0,499
4.974193054215489,5.0,504
4.974193054215489,5.0,506
4.881801749867663,5.0,515
4.974193054215489,5.0,518
4.768762727502637,5.0,521
4.974193054215489,5.0,525
4.974193054215489,5.0,528
